File_ID,System_ID,cell_id,file_name,extension,folder,file_size_MB,file_path
1,58.0,133.0,Na_3xFormcycle_133_channel_1.hdf5,hdf5,C20Form 3xFormcycle,23.36,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/Na_3xFormcycle_133_channel_1.hdf5
2,59.0,134.0,Na_3xFormcycle_134_channel_6.hdf5,hdf5,C20Form 3xFormcycle,43.09,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/Na_3xFormcycle_134_channel_6.hdf5
3,60.0,135.0,Na_3xFormcycle_135_channel_14.hdf5,hdf5,C20Form 3xFormcycle,24.2,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/Na_3xFormcycle_135_channel_14.hdf5
4,61.0,137.0,Na_3xFormcycle_137_channel_16.hdf5,hdf5,C20Form 3xFormcycle,30.98,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/Na_3xFormcycle_137_channel_16.hdf5
5,43.0,67.0,Na_3xFormcycle_67_channel_26.hdf5,hdf5,C20Form 3xFormcycle,118.25,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/Na_3xFormcycle_67_channel_26.hdf5
6,46.0,70.0,Na_3xFormcycle_70_channel_23.hdf5,hdf5,C20Form 3xFormcycle,103.75,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/Na_3xFormcycle_70_channel_23.hdf5
7,60.0,135.0,test_14_cell135_3xC20Form_23-03-13_Channel_14_Wb_1.CSV,csv,test_14_cell135_3xC20Form_23-03-13_2023_03_13_173930,30.67,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/test_14_cell135_3xC20Form_23-03-13_2023_03_13_173930/test_14_cell135_3xC20Form_23-03-13_Channel_14_Wb_1.CSV
8,61.0,137.0,test_16_cell137_3xC20Form_23-03-13_Channel_16_Wb_1.CSV,csv,test_16_cell137_3xC20Form_23-03-13_2023_03_13_173957,39.98,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/test_16_cell137_3xC20Form_23-03-13_2023_03_13_173957/test_16_cell137_3xC20Form_23-03-13_Channel_16_Wb_1.CSV
9,58.0,133.0,test_1_cell133_3xC20Form_23-03-13_Channel_1_Wb_1.CSV,csv,test_1_cell133_3xC20Form_23-03-13_2023_03_13_173901,29.5,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/test_1_cell133_3xC20Form_23-03-13_2023_03_13_173901/test_1_cell133_3xC20Form_23-03-13_Channel_1_Wb_1.CSV
10,46.0,70.0,test_23_cell70_3xC20Form_23-03-02_Channel_23_Wb_1.CSV,csv,test_23_cell70_3xC20Form_23-03-02_2023_03_02_150851,114.99,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/test_23_cell70_3xC20Form_23-03-02_2023_03_02_150851/test_23_cell70_3xC20Form_23-03-02_Channel_23_Wb_1.CSV
11,46.0,70.0,test_23_cell70_3xC20Form_23-03-02_Channel_23_Wb_2.CSV,csv,test_23_cell70_3xC20Form_23-03-02_2023_03_02_150851,25.78,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/test_23_cell70_3xC20Form_23-03-02_2023_03_02_150851/test_23_cell70_3xC20Form_23-03-02_Channel_23_Wb_2.CSV
12,43.0,67.0,test_26_cell67_3xC20Form_23-03-02_Channel_26_Wb_1.CSV,csv,test_26_cell67_3xC20Form_23-03-02_2023_03_02_160555,114.97,/Users/pranavdevkar/Downloads/Na_upscaling_extracted/Na-upscaling/C20Form 3xFormcycle/test_26_cell67_3xC20Form_23-03-02_2023_03_02_160555/test_26_cell67_3xC20Form_23-03-02_Channel_26_Wb_1.CSV
